url,type,status,saved_path
https://csed.thapar.edu/upload/files/BECOE23.pdf,pdf,downloaded,output\pdfs\BECOE23_a97fb883.pdf
https://csed.thapar.edu/upload/files/BECOE_2024_Scheme.pdf,pdf,downloaded,output\pdfs\BECOE_2024_Scheme_2e3b73c7.pdf
https://csed.thapar.edu/upload/files/MCA Scheme 2025.pdf,pdf,downloaded,output\pdfs\MCA_Scheme_2025_d4dc2378.pdf
https://www.thapar.edu/upload/files/BECOE2021sep.pdf,pdf,downloaded,output\pdfs\BECOE2021sep_39126b90.pdf
https://www.thapar.edu/upload/files/BECSE_2022.pdf,pdf,downloaded,output\pdfs\BECSE_2022_8422700f.pdf
https://csed.thapar.edu/upload/files/BECOE_2025_Scheme.pdf,pdf,downloaded,output\pdfs\BECOE_2025_Scheme_66f19ecc.pdf
https://www.thapar.edu/upload/files/BECSE2025_Scheme.pdf,pdf,downloaded,output\pdfs\BECSE2025_Scheme_3ccfb16f.pdf
https://www.thapar.edu/upload/files/BECSE2024_Scheme.pdf,pdf,downloaded,output\pdfs\BECSE2024_Scheme_37d1ce93.pdf
https://www.thapar.edu/upload/files/BE CSBS2022.pdf,pdf,downloaded,output\pdfs\BE_CSBS2022_a368fd15.pdf
https://www.thapar.edu/upload/files/BECSE2021.pdf,pdf,downloaded,output\pdfs\BECSE2021_eda0a961.pdf
https://csed.thapar.edu/upload/files/AI-DS_2024_COURSE SCHEME.pdf,pdf,downloaded,output\pdfs\AI-DS_2024_COURSE_SCHEME_25201f20.pdf
https://www.thapar.edu/upload/files/BE CSBS 2020.pdf,pdf,downloaded,output\pdfs\BE_CSBS_2020_ee3209b5.pdf
https://www.thapar.edu/upload/files/BE CSBS2023.pdf,pdf,downloaded,output\pdfs\BE_CSBS2023_38b61d51.pdf
https://www.thapar.edu/upload/files/BECSE2019_SUGC.pdf,pdf,downloaded,output\pdfs\BECSE2019_SUGC_421a970a.pdf
https://csed.thapar.edu/upload/files/ME CSE2021 FINAL.pdf,pdf,downloaded,output\pdfs\ME_CSE2021_FINAL_1804e7ec.pdf
https://www.thapar.edu/upload/files/ME CSE Course Scheme 2022.pdf,pdf,downloaded,output\pdfs\ME_CSE_Course_Scheme_2022_e0104b02.pdf
https://csed.thapar.edu/upload/files/MCA_Scheme_2022_23_csed.pdf,pdf,downloaded,output\pdfs\MCA_Scheme_2022_23_csed_28cdc4bc.pdf
https://csed.thapar.edu/upload/files/NAAC_CSED.pdf,pdf,skipped_too_large,
https://www.thapar.edu/upload/files/Final-ME-CSE_Scheme-2020.pdf,pdf,downloaded,output\pdfs\Final-ME-CSE_Scheme-2020_1b08f3d6.pdf
https://www.thapar.edu/upload/files/BECSE2020_SUGC.pdf,pdf,downloaded,output\pdfs\BECSE2020_SUGC_3f22942e.pdf
https://www.thapar.edu/upload/files/BE CSBS 2024.pdf,pdf,downloaded,output\pdfs\BE_CSBS_2024_fdeb10eb.pdf
https://csed.thapar.edu/upload/files/MECSE2025scheme.pdf,pdf,downloaded,output\pdfs\MECSE2025scheme_2020a86f.pdf
https://csed.thapar.edu/upload/files/AI_ML24.pdf,pdf,downloaded,output\pdfs\AI_ML24_4eb92ba0.pdf
https://www.thapar.edu/upload/files/BE CSBS 2021.pdf,pdf,downloaded,output\pdfs\BE_CSBS_2021_0e6eba1b.pdf
https://www.thapar.edu/upload/files/BECOE_2022.pdf,pdf,downloaded,output\pdfs\BECOE_2022_51e75824.pdf
https://www.thapar.edu/upload/files/BECSE2026_Scheme.pdf,pdf,downloaded,output\pdfs\BECSE2026_Scheme_6caeb2cd.pdf
https://www.thapar.edu/upload/files/BE CSBS 2019.pdf,pdf,downloaded,output\pdfs\BE_CSBS_2019_8dc7fc5b.pdf
https://csed.thapar.edu/upload/files/BECSE_2023.pdf,pdf,downloaded,output\pdfs\BECSE_2023_b0a321cc.pdf
https://med.thapar.edu/,html,text_extracted,output\html_text\index_4d4909e6.txt
https://med.thapar.edu/images/pdf/AcademicRegulations.pdf,pdf,skipped_duplicate_content:1d58d1ca,
https://med.thapar.edu/programmes,html,text_extracted,output\html_text\programmes_703cc7c8.txt
https://www.thapar.edu/images/mech_dept/ABETProgramme%20Enrollment%20and%20Degree%20Data.pdf,pdf,downloaded,output\pdfs\ABETProgramme_20Enrollment_20and_20Degree_20Data_c26822ef.pdf
https://eced.thapar.edu/,html,text_extracted,output\html_text\index_43624dbc.txt
https://eced.thapar.edu/images/pdf/AcademicRegulations.pdf,pdf,skipped_duplicate_content:1d58d1ca,
https://eced.thapar.edu/faculty,html,text_extracted,output\html_text\faculty_a202ced3.txt
https://eced.thapar.edu/programmes,html,text_extracted,output\html_text\programmes_f82a2961.txt
https://thapar.edu/upload/files/MTech_VLSI_batch 2019.pdf,pdf,downloaded,output\pdfs\MTech_VLSI_batch_2019_887785ac.pdf
https://eced.thapar.edu/upload/files/Scheme and Syllabus M.Tech. VLSI Design 2021-23.pdf,pdf,downloaded,output\pdfs\Scheme_and_Syllabus_M.Tech._VLSI_Design_2021-23_c58377f9.pdf
https://eied.thapar.edu/,html,text_extracted,output\html_text\index_ac227b91.txt
https://eied.thapar.edu/images/pdf/AcademicRegulations.pdf,pdf,skipped_duplicate_content:1d58d1ca,
https://webkiosk.thapar.edu/,html,text_extracted,output\html_text\index_afa9a279.txt
https://www.thapar.edu/misces,html,text_extracted,output\html_text\misces_8343b4a2.txt
https://www.thapar.edu/upload/files/Quality Manual 2025V5.3.pdf,pdf,downloaded,output\pdfs\Quality_Manual_2025V5.3_572caccc.pdf
https://www.thapar.edu/upload/files/Departmental Documented Information 2025V5.3.pdf,pdf,downloaded,output\pdfs\Departmental_Documented_Information_2025V5.3_a3087068.pdf
https://thapar.edu/upload/files/Academic Documented Information 2025.pdf,pdf,downloaded,output\pdfs\Academic_Documented_Information_2025_de8d8be9.pdf
https://www.thapar.edu/upload/files/System Documented Information 2025V5.3.pdf,pdf,downloaded,output\pdfs\System_Documented_Information_2025V5.3_b7cd05b9.pdf
https://admission.thapar.edu,html,skipped_duplicate_content:49b29622,
https://www.thapar.edu/admissions/pages/eligibility,html,text_extracted,output\html_text\eligibility_265aec05.txt
https://webkiosk.thapar.edu/Application/?_ga=2.263356428.188901530.1605594689-213301553.1595228600,html,text_extracted,output\html_text\index_10e4277e.txt
https://webkiosk.thapar.edu/Admission/index.jsp,html,text_extracted,output\html_text\index.jsp_e5fe42ca.txt
https://www.thapar.edu/programmes/pages/chemical-engineering,html,text_extracted,output\html_text\chemical-engineering_2bb3cd28.txt
https://www.thapar.edu/admissions/pages/scholarships,html,text_extracted,output\html_text\scholarships_f707e4ed.txt
https://www.thapar.edu/upload/files/Notice_Alumni_dated_28.2.20.pdf,pdf,downloaded,output\pdfs\Notice_Alumni_dated_28.2.20_4e8ce900.pdf
https://www.thapar.edu/upload/files/Notice for Merit-cum-Means Scholarship for the year 2018-19.pdf,pdf,downloaded,output\pdfs\Notice_for_Merit-cum-Means_Scholarship_for_the_year_2018-19_644eb875.pdf
https://www.thapar.edu/upload/files/DATE EXTE-Merit-cum-Means (Alumni)Scholarship 2021-22.pdf,pdf,downloaded,output\pdfs\DATE_EXTE-Merit-cum-Means__Alumni_Scholarship_2021-22_3ca78972.pdf
https://www.thapar.edu/upload/files/NOTICE-_GOVERNMENT_SCHOLARSHIP_SCHEMES_%28NSP%29_DATE_EXTENDED.pdf,pdf,downloaded,output\pdfs\NOTICE-_GOVERNMENT_SCHOLARSHIP_SCHEMES__28NSP_29_DATE_EXTENDED_b2b78f13.pdf
